# Language file for plaintext-parser.php program
# Version: 1.0 2013-01-12
# english to english so one can adapt english output of plaintext parser
#
#dateformat|d/m/Y H:i|   // Euro format 03/31/2006 14:03
dateformat|d.m.Y H:i|d.m.Y H:i|
#
lang|Cloudy in the morning|Nublado por la ma&ntilde;ana  despues|lang|Fair to partly cloudy in the evening|Parcialmente nuboso por la nochelang|Dense overcast in the morning|Densamente cubierto por la ma&ntilde;ana despues| lang|Moderate fog|Niebla moderada|lang|becoming|cambiando|lang|A chance of rain after midnight|Probabilidad de lluvia después de medianoche|lang|Mostly sunny in the morning|Generalmente soleado por la ma&ntilde;ana| 
lang|mostly sunny in the afternoon|a soleado por la tarde|
lang|mostly cloudy to cloudy after midnight|de nuboso a muy nuboso despues medianoche|
lang|Breezy and unusually hot|Ventoso y muy caluroso|
lang|Breezy and warm|Ventoso y calido|
lang|Unusually hot|Inusualmente caluroso|
lang|dense overcast|densamente cubierto|
lang|Chance of precipitation|Probabilidad de precipitación|
lang|Snow accumulation|Acumulación de nieve|
lang|Snow likely|Nieve probable|
lang|Snow or ice|Nieve o hielo|
lang|Partly cloudy in the morning|Parcialmente nublado por la ma&ntilde;ana|.
lang|Partly to mostly sunny in the morning|Parcialmente soleado por la ma&ntilde;ana|.
lang|partly to mostly sunny in the morning|a parciamente soleado por la ma&ntilde;ana|.
lang|partly to mostly sunny in the afternoon|a parcialmente soleado por la tarde|
lang|Partly to mostly cloudy in the evening|Parcialmente nublado en la tarde-noche|
lang|Partly to mostly cloudy in the morning|Parcialmente nublado por la ma&ntilde;ana|.
lang|Partly to mostly cloudy in the afternoon|Parcialmente nublado por la tarde|
lang|partly to mostly cloudy in the evening|a parcialmente nublado en la tarde-noche|
lang|partly to mostly cloudy in the morning|a parcialmente nublado por la ma&ntilde;ana|.
lang|partly to mostly cloudy in the afternoon|a parcialmente nublado por la tarde|
lang|Partly to mostly sunny|En general parcialmente soleado|
lang|Mostly cloudy to cloudy in the evening|Muy nublado por la tarde-noche|
lang|Mostly cloudy to cloudy|Muy nublado|
lang|partly to mostly cloudy after midnight|a parcialmente nublado despues de medianoche|
lang|Partly to mostly cloudy|En general parcialmente nublado|
lang|mostly cloudy in the afternon|mayormente nublado por la tarde|
lang|Clear in the evening, becoming mostly clear after midnight|Despejado de la tarde, cambiando a muy claro después de la medianoche|
lang|mostly clear after midnight|mayormente despejado despues de medianoche|
lang|Fair to partly cloudy|Despejado a parcialmente nublado|
lang|fair to partly cloudy after midnight| de despejado a parcialmente nublado despues de la medianoche|
lang|Patchy light fog after midnight|Areas dispersas de ligera niebla despues de media noche|
lang|Patchy light fog in the morning|Áreas dispersas de ligera niebla por la ma&ntilde;ana|.
lang|Patchy ligth fog|Áreas dispersas de ligera niebla|
lang|Patchy light fog in the evening|Niebla ligera por la noche|
lang|Sunny in the morning|Soleado por la ma&ntilde;ana|.
lang|Cloudy in the evening,|Nublado por la tarde-noche|
lang|Clear in the evening|Despejado por la tarde-noche|
lang|then a mix of snow and rain likely after midnight|luego probable mezcla de lluvia y nieve despues de medianoche|
lang|A chance of a mix of snow and rain in the evening|Probabilidad de mezcla de lluvia y nieve por la tarde-noche|
lang|A slight chance of rain|Poca probabilidad de lluvia|
lang|A slight chance of rain in the morning|Poca probabilidad de lluvia por la ma&ntilde;ana|.
lang|then a chance of rain after midnight|luego probabilidad de lluvia despues de medianoche|
lang|then a chance of rain in the afternoon|luego probabilidad de lluvia por la tarde|
lang|A chance of rain|Probabilidad de lluvia|
lang|A chance of rain in the evening,|Probabilidad de lluvia por la tarde-noche|
lang|A mix of rain and snow likely|probable mezcla de lluvia y nieve |
lang|a mix of rain and snow|mezcla de lluvia y nieve|
lang|Little if any freezing rain accumulation|Pequeña acumulación de lluvia helada|
lang|A slight chance of a mix of freezing rain and sleet|Poca probabilidad de una mezcla de lluvia helada y aguanieve|
lang|Thunderstotrms likely, some possibly severe|Tormentas probables, algunas posiblemente severas|
lang|Thunderstorms likely, some possibly severe|Tormentas electricas probables, algunas posiblemente severas|
lang|Some thunder possible.|Algunos truenos posibles.|
lang|some thunderstotrms likely|algunas tormentas electricas probables|
lang|Some thunderstorms likely|Algunas tormentas electricas probables|
lang|Scattered thunderstorms likely|Probables tormentas electricas|
lang|showery of intermittent|chubascos  intermitentes|
lang|Showery of intermittent|Chubascos intermitentes|
lang|Precipitation showery or intermittent|Precipitacion con chubascos intermitentes|
