# Language file for plaintext-parser.php program
# Version 1.0 - 20-Sep-2011
# Translation - Magyarország by Baranyi Attila - http://www.huweather.com
#
charset|ISO-8859-2||
# new for v.1.14
lang|Maximum snow level|Maximális hó magasság:|
lang|Minimum snow level|Minimális hó magassága:|
lang|Maximum freezing level|Maximális fagyáspont:|
lang|Minimum freezing level|Minimális fagyáspont:|
lang|above sea level|tengerszint felett|
lang|above ground|a talajfelszín felett|
lang|meters|Méter|
#
lang|Rain likely in the evening, then a slight chance of rain after midnight. Some thunderstorms likely.|Lehetséges esõ délután,de este kisebb a valószínûsége a csapadéknak. Egy egy vihar elõfordulhat.|
lang|Rain likely in the evening, then a slight chance of rain after midnight.|Lehetséges esõ délután, este kisebb a valószínûsége a csapadéknak.|
lang|Rain likely in the evening, then a chance of rain after midnight.|Esõ várható az esti órákban|
lang|some high cloudiness|Egyes magas felhõzet|
lang|A chance of rain. Thunderstorms likely|Lehetséges esõ de viharok is.|
lang|A chance of rain. Some thunderstorms likely.|Lehetséges esõ és helyi viharok is.|
lang|A slight chance of rain. Precipitation showery or intermittent.|Esõ, esõ helyben még erõsebb.|
lang|A slight chance of rain in the evening, then a chance of rain after midnight.|Kevés a valószinûség esõre|
lang|with just a few high thin clouds|néhány nagy felhõ|
lang|but some high thin clouds|de néhány nagy felhõ|
lang|with just a few wispy clouds|némi felhõzet|
lang|A slight chance of a mix of rain and snow.|A csekély az esélye vegyesen esõ és a hó.|
lang|A slight chance of a mix of rain, snow, and sleet.|Tiszta hó és jég.|
lang|A chance of rain in the morning, then a slight chance of rain in the afternoon.|Lehetséges esõ reggel, majd egy kis esély esõ délután..|
lang|A chance of rain. Precipitation showery or intermittent.|Az a lehetõség, alkalmi esõ is lehetséges helyben nagy záporesõ.|
lang|No snow or ice (on ground) accumulation expected.|A felszínen a hó felhalmozódása várható, azaz. jég|
lang|Clear in the evening, becoming mostly clear after midnight.|Tiszta este, részben felhõs éjszaka|
lang|becoming mostly clear, with just a few high thin clouds after midnight.|akkor többnyire tiszta éjszaka, néhány magas felhõk.|
lang|becoming partly to mostly sunny|részben többnyire napos|
lang|becoming partly to mostly sunny in the afternoon|Ezután részben felhõs, délután|
lang|Partly to mostly sunny|Részben a leginkább egyértelmû|
lang|Little if any freezing rain accumulation.|Esõ, hogy lefagy -Jeges utak!|
lang|Partly to mostly cloudy|Mérsékelt többnyire felhõs|
lang|Precipitation showery or intermittent|Felhõs, helyi zivatarok|
lang|Fair in the evening, becoming mostly clear after midnight.|Tiszta este, éjszaka fõként tiszta.|
lang|, becoming partly to mostly cloudy| , Ezután részben felhõs, közepesen|
lang|High risk of severe thunderstorms and possible tornados.|Nagy a kockázata a súlyos viharok és tornádóknak.|
